Method,Dataset,F1-score,Precision,Recall,Accuracy,AUC,Normal,Anomaly
k-neighbors,og,0.8388636858241472,0.8785682314606539,0.8427438814202,0.8427438814202,0.8423714957379923,7246,4978
k-neighbors,pca,0.9913822657515416,0.9913830128861182,0.9913822819717338,0.9913822819717338,0.9913807346033962,7212,7168
k-neighbors,pearson,0.9853814940234475,0.9857029504760128,0.9853843502240608,0.9853843502240608,0.9853533231492562,7257,7036
k-neighbors,lda,0.9911748298036624,0.9912800994023548,0.9911754567390556,0.9911754567390556,0.991157771759434,7259,7118
supervised_neural_network,og,0.9933122582371092,0.993397103335648,0.9933126508100656,0.9933126508100656,0.9932968081759064,7269,7139
supervised_neural_network,pca,0.9919334248482868,0.9920011736218202,0.9919338159255428,0.9919338159255428,0.9919196288103548,7254,7134
supervised_neural_network,pearson,0.9910370179803804,0.9911269621848208,0.9910375732506032,0.9910375732506032,0.9910212183058628,7254,7121
supervised_neural_network,lda,0.9881414099026076,0.9882135560330408,0.9881420199931058,0.9881420199931058,0.9881273117363724,7228,7105
naive_bayes,og,0.9413282231894428,0.941436139419062,0.9413305756635644,0.9413305756635644,0.9413486994388618,6789,6865
naive_bayes,pca,0.8746473764959103,0.8773870430096254,0.8748707342295761,0.8748707342295761,0.874771024621448,6660,6030
naive_bayes,pearson,0.869209119143766,0.8693513510711223,0.8692175112030335,0.8692175112030335,0.869239207619236,6254,6354
naive_bayes,lda,0.9883482803364144,0.9884156089860164,0.9883488452257844,0.9883488452257844,0.9883346372374092,7228,7108
ada_boost,og,0.9955186811909634,0.9955472051781964,0.9955187866253016,0.9955187866253016,0.9955096110246595,7265,7175
ada_boost,pca,0.9920021317988761,0.9921198321370065,0.9920027576697691,0.9920027576697691,0.991984079378765,7268,7121
ada_boost,pearson,0.9952428942494194,0.9952757052245574,0.9952430196483971,0.9952430196483971,0.9952331770232773,7265,7171
ada_boost,lda,0.9901401675787466,0.9903262174245804,0.9901413305756636,0.9901413305756636,0.9901178171600115,7269,7093
random_forest,og,0.9966907740051839,0.9966962092065724,0.9966907962771459,0.9966907962771459,0.9966867844965013,7258,7199
random_forest,pca,0.9940019187506004,0.9940324719851367,0.9940020682523267,0.9940020682523267,0.993992551111297,7255,7163
random_forest,pearson,0.9957255199450288,0.9957510245332242,0.99572561185798,0.99572561185798,0.9957169365256962,7265,7178
random_forest,lda,0.9908991057900199,0.9909927405562414,0.990899689762151,0.990899689762151,0.9908830013051715,7254,7119
gradient_boosted_trees,og,0.9964150105568111,0.9964187806541018,0.9964150293002413,0.9964150293002413,0.996411681332815,7254,7199
gradient_boosted_trees,pca,0.9932434616583832,0.9932921674478753,0.9932437090658394,0.9932437090658394,0.993231692188648,7257,7150
gradient_boosted_trees,pearson,0.9954497346669525,0.9954793024350002,0.9954498448810755,0.9954498448810755,0.9954405025243139,7265,7174
gradient_boosted_trees,lda,0.9897953400919879,0.9899947202796627,0.9897966218545329,0.9897966218545329,0.9897722746582837,7269,7088
