Method,Dataset,F1-score,Precision,Recall,Accuracy,AUC
k-neighbors,og,0.8583998275993021,0.8955732524189829,0.8521395412970538,0.8521395412970538,0.9386183152149282
k-neighbors,pca,0.9830199789120896,0.9866627347290204,0.981431263501402,0.981431263501402,0.9984576294904288
k-neighbors,pearson,0.9330317383957312,0.932146952772996,0.9383646642459896,0.9383646642459896,0.8451877714563951
k-neighbors,lda,0.957503223010117,0.9528631376214116,0.9644252424507056,0.9644252424507056,0.9488456535293792
k-neighbors,pearson-pca,0.9217267925553624,0.9093094469743964,0.939697568598612,0.939697568598612,0.8204013935767437
k-neighbors,pearson-lda,0.9334252374472496,0.9375410335166318,0.933998253435676,0.933998253435676,0.8589392179808529
supervised_neural_network,og,0.977124698882462,0.9718599813048092,0.982856092292136,0.982856092292136,0.9993736280676516
supervised_neural_network,pca,0.9645729515113748,0.9620000826465968,0.9690214643562992,0.9690214643562992,0.9984414970093988
supervised_neural_network,pearson,0.9255242228631892,0.91877292939232,0.9361584777313048,0.9361584777313048,0.9926216843862716
supervised_neural_network,lda,0.922525426885157,0.9127437564628684,0.9355150066645218,0.9355150066645218,0.970444044145646
supervised_neural_network,pearson-pca,0.915959806821505,0.905299273770356,0.9326193868639978,0.9326193868639978,0.990806130730974
supervised_neural_network,pearson-lda,0.8763809953492295,0.8752962606071872,0.8833938502550903,0.8833938502550903,0.9810609591183812
naive_bayes,og,0.95085508079521,0.9552732574185848,0.9498552190099738,0.9498552190099738,0.9890822242670372
naive_bayes,pca,0.8483982930034941,0.8716880478365954,0.8428551730477547,0.8428551730477547,0.9689369297804684
naive_bayes,pearson,0.7353589554497583,0.7945563437681473,0.7182975594061681,0.7182975594061681,0.9730930930816528
naive_bayes,lda,0.9342594613288282,0.9225543061826724,0.9485682768764075,0.9485682768764075,0.9727039334902198
naive_bayes,pearson-pca,0.8149013336006296,0.8352143512627809,0.8042928712598244,0.8042928712598244,0.9760981748273728
naive_bayes,pearson-lda,0.8345444975026981,0.8228323490276989,0.8508066369444317,0.8508066369444317,0.9419859895086424
ada_boost,og,0.9541350027781476,0.9584100571568896,0.9533943098772808,0.9533943098772808,0.9983645775915548
ada_boost,pca,0.956676075914071,0.9570155994922838,0.9571632118398676,0.9571632118398676,0.9965511632365256
ada_boost,pearson,0.9326818538180208,0.9363818170593924,0.9373075332077032,0.9373075332077032,0.9909201426104154
ada_boost,lda,0.9297709474640136,0.9246068116629732,0.9364802132646964,0.9364802132646964,0.9821512619560634
ada_boost,pearson-pca,0.9047627086389696,0.8987699057175896,0.9151537436227422,0.9151537436227422,0.9916871958883776
ada_boost,pearson-lda,0.8904668664411399,0.8754104625133247,0.9091326929264144,0.9091326929264144,0.9907825514437774
random_forest,og,0.9789153930594904,0.9734894190394556,0.9846945810543734,0.9846945810543734,0.9993616123071652
random_forest,pca,0.9763405608433288,0.9710123822298286,0.982074734568185,0.982074734568185,0.9993010104160812
random_forest,pearson,0.9296475261438636,0.9235431494464814,0.939743530817668,0.939743530817668,0.9935805409817072
random_forest,lda,0.9585689994436198,0.955648154744072,0.9656662223652158,0.9656662223652158,0.9905183099820134
random_forest,pearson-pca,0.928687134815638,0.9226823890551088,0.9387323619984372,0.9387323619984372,0.993536220273336
random_forest,pearson-lda,0.9226822712889192,0.9168492992681608,0.9326193868639978,0.9326193868639978,0.992448067663665
decision_tree,og,0.977423212448969,0.9720798346364344,0.9831778278255274,0.9831778278255274,0.9980100162431677
decision_tree,pca,0.975569924485674,0.9702579055103646,0.981293376844234,0.981293376844234,0.9979947550012692
decision_tree,pearson,0.929290733394793,0.923217268687164,0.9393758330652204,0.9393758330652204,0.9934692872518288
decision_tree,lda,0.9510317643833704,0.9465425940328338,0.9558762697063016,0.9558762697063016,0.940497523375848
decision_tree,pearson-pca,0.9277925039126268,0.9218185988923094,0.9378131176173186,0.9378131176173186,0.9928602396678428
decision_tree,pearson-lda,0.9226384124685256,0.9168116072311796,0.932573424644942,0.932573424644942,0.990756220585439
