Method,Dataset,F1-score,Precision,Recall,Accuracy,AUC,Normal,Anomaly,Confusion Matrix
k-neighbors,og,0.8388636858241472,0.8785682314606539,0.8427438814202,0.8427438814202,0.8423714957379923,9503,5002,"[[7246   24]
 [2257 4978]]"
k-neighbors,pca,0.9913822657515416,0.9913830128861182,0.9913822819717338,0.9913822819717338,0.9913807346033962,7279,7226,"[[7212   58]
 [  67 7168]]"
k-neighbors,pearson,0.9853814940234477,0.9857029504760128,0.9853843502240607,0.9853843502240607,0.9853533231492562,7456,7049,"[[7257   13]
 [ 199 7036]]"
k-neighbors,lda,0.9911748298036624,0.9912800994023547,0.9911754567390555,0.9911754567390555,0.9911577717594341,7376,7129,"[[7259   11]
 [ 117 7118]]"
k-neighbors,pearson-pca,0.9919338159255429,0.9919453668260401,0.9919338159255429,0.9919338159255429,0.9919395913757915,7235,7270,"[[7194   76]
 [  41 7194]]"
k-neighbors,pearson-lda,0.9837979665287037,0.9838586120413562,0.9837986901068597,0.9837986901068597,0.9837851210444414,7351,7154,"[[7193   77]
 [ 158 7077]]"
supervised_neural_network,og,0.9936570702883678,0.9937203053841428,0.9936573595311962,0.9936573595311962,0.9936436815153298,7352,7153,"[[7265    5]
 [  87 7148]]"
supervised_neural_network,pca,0.9910374354844895,0.991053916997448,0.9910375732506033,0.9910375732506033,0.9910305341697332,7312,7193,"[[7226   44]
 [  86 7149]]"
supervised_neural_network,pearson,0.9915885861046647,0.9916786148562001,0.9915891072044123,0.9915891072044123,0.9915727554709312,7368,7137,"[[7258   12]
 [ 110 7125]]"
supervised_neural_network,lda,0.9881414099026075,0.9882135560330407,0.9881420199931058,0.9881420199931058,0.9881273117363725,7358,7147,"[[7228   42]
 [ 130 7105]]"
supervised_neural_network,pearson-pca,0.9808276042146992,0.981413913729852,0.9808341951051361,0.9808341951051361,0.9807921621264505,7522,6983,"[[7257   13]
 [ 265 6970]]"
supervised_neural_network,pearson-lda,0.929091178508944,0.9301261949558481,0.9291278869355395,0.9291278869355395,0.9291853657284578,6922,7583,"[[6582  688]
 [ 340 6895]]"
naive_bayes,og,0.9413282231894429,0.9414361394190621,0.9413305756635643,0.9413305756635643,0.9413486994388618,7159,7346,"[[6789  481]
 [ 370 6865]]"
naive_bayes,pca,0.8746473764959103,0.8773870430096254,0.8748707342295761,0.8748707342295761,0.874771024621448,7865,6640,"[[6660  610]
 [1205 6030]]"
naive_bayes,pearson,0.869209119143766,0.8693513510711223,0.8692175112030335,0.8692175112030335,0.869239207619236,7135,7370,"[[6254 1016]
 [ 881 6354]]"
naive_bayes,lda,0.9883482803364143,0.9884156089860164,0.9883488452257843,0.9883488452257843,0.9883346372374091,7355,7150,"[[7228   42]
 [ 127 7108]]"
naive_bayes,pearson-pca,0.8709191350854637,0.8794176806513246,0.8715615305067218,0.8715615305067218,0.8717339579398252,6229,8276,"[[5818 1452]
 [ 411 6824]]"
naive_bayes,pearson-lda,0.9057365406909486,0.9060441000713786,0.9057566356428818,0.9057566356428818,0.9057236477500763,7465,7040,"[[6684  586]
 [ 781 6454]]"
ada_boost,og,0.9955876275773353,0.995615126437234,0.9955877283695278,0.9955877283695278,0.995578719525005,7324,7181,"[[7265    5]
 [  59 7176]]"
ada_boost,pca,0.9920021317988761,0.9921198321370065,0.9920027576697691,0.9920027576697691,0.991984079378765,7382,7123,"[[7268    2]
 [ 114 7121]]"
ada_boost,pearson,0.9952428942494194,0.9952757052245574,0.9952430196483971,0.9952430196483971,0.9952331770232773,7329,7176,"[[7265    5]
 [  64 7171]]"
ada_boost,lda,0.9901401675787466,0.9903262174245804,0.9901413305756636,0.9901413305756636,0.9901178171600115,7411,7094,"[[7269    1]
 [ 142 7093]]"
ada_boost,pearson-pca,0.988141940185242,0.9881472710392373,0.9881420199931058,0.9881420199931058,0.9881379584379388,7294,7211,"[[7196   74]
 [  98 7137]]"
ada_boost,pearson-lda,0.9731125387921185,0.9731176861966643,0.9731127197518097,0.9731127197518097,0.9731085706898207,7294,7211,"[[7087  183]
 [ 207 7028]]"
random_forest,og,0.9966218331136009,0.9966268234984709,0.9966218545329197,0.9966218545329197,0.9966180087055797,7293,7212,"[[7257   13]
 [  36 7199]]"
random_forest,pca,0.9937261171665818,0.9937634299773045,0.9937263012754223,0.9937263012754223,0.9937157844004909,7333,7172,"[[7256   14]
 [  77 7158]]"
random_forest,pearson,0.9957255199450288,0.9957510245332242,0.99572561185798,0.99572561185798,0.9957169365256962,7322,7183,"[[7265    5]
 [  57 7178]]"
random_forest,lda,0.9908990852845465,0.9909965068592447,0.990899689762151,0.990899689762151,0.9908826685957476,7372,7133,"[[7255   15]
 [ 117 7118]]"
random_forest,pearson-pca,0.9952429010780622,0.9952735235785614,0.9952430196483971,0.9952430196483971,0.9952335097327013,7327,7178,"[[7264    6]
 [  63 7172]]"
random_forest,pearson-lda,0.9853151211925956,0.9853373243435954,0.9853154084798346,0.9853154084798346,0.985307171599163,7319,7186,"[[7188   82]
 [ 131 7104]]"
gradient_boosted_trees,og,0.9962081881356716,0.9962109090617766,0.9962082040675629,0.9962082040675629,0.9962053539600502,7287,7218,"[[7251   19]
 [  36 7199]]"
gradient_boosted_trees,pca,0.9933123766822051,0.993368095745434,0.9933126508100655,0.9933126508100655,0.9932998025607218,7347,7158,"[[7260   10]
 [  87 7148]]"
gradient_boosted_trees,pearson,0.9956565738280351,0.9956830662197098,0.9956566701137539,0.9956566701137539,0.9956478280253506,7323,7182,"[[7265    5]
 [  58 7177]]"
gradient_boosted_trees,lda,0.9881414099026075,0.9882135560330407,0.9881420199931058,0.9881420199931058,0.9881273117363725,7358,7147,"[[7228   42]
 [ 130 7105]]"
gradient_boosted_trees,pearson-pca,0.9946913533769681,0.9947219450925948,0.9946914856945881,0.9946914856945881,0.9946819725676328,7327,7178,"[[7260   10]
 [  67 7168]]"
gradient_boosted_trees,pearson-lda,0.9587676579392487,0.9589568486315131,0.9587728369527749,0.9587728369527749,0.9587483091231774,7416,7089,"[[7044  226]
 [ 372 6863]]"
logistic_regression,og,0.9937260210813278,0.993787729368324,0.9937263012754223,0.9937263012754223,0.9937127900156754,7351,7154,"[[7265    5]
 [  86 7149]]"
logistic_regression,pca,0.9803501838203643,0.9804554906022783,0.9803516028955532,0.9803516028955532,0.9803336885402516,7377,7128,"[[7181   89]
 [ 196 7039]]"
logistic_regression,pearson,0.936196773952347,0.9389037417801004,0.9362978283350569,0.9362978283350569,0.9362042987958771,7830,6675,"[[7088  182]
 [ 742 6493]]"
logistic_regression,lda,0.9888297809221442,0.9890689011189945,0.9888314374353672,0.9888314374353672,0.9888047556534462,7430,7075,"[[7269    1]
 [ 161 7074]]"
logistic_regression,pearson-pca,0.848737257848571,0.8487657528272959,0.8487418131678731,0.8487418131678731,0.8487302857783832,7334,7171,"[[6205 1065]
 [1129 6106]]"
logistic_regression,pearson-lda,0.9094690825310611,0.9096257850237756,0.9094794898310927,0.9094794898310927,0.9094558394781596,7409,7096,"[[6683  587]
 [ 726 6509]]"
decision_tree,og,0.9953119334504645,0.9953164849435451,0.9953119613926232,0.9953119613926232,0.995308274293254,7292,7213,"[[7247   23]
 [  45 7190]]"
decision_tree,pca,0.993657275903124,0.9936708325659614,0.9936573595311962,0.9936573595311962,0.9936510011226566,7308,7197,"[[7243   27]
 [  65 7170]]"
decision_tree,pearson,0.9942086714564516,0.9942602106310786,0.9942088934850052,0.9942088934850052,0.9941965495180942,7344,7161,"[[7265    5]
 [  79 7156]]"
decision_tree,lda,0.9890381003176703,0.9890537432860221,0.9890382626680455,0.9890382626680455,0.9890313783010716,7311,7194,"[[7211   59]
 [ 100 7135]]"
decision_tree,pearson-pca,0.9946913299101845,0.9947287074696962,0.9946914856945881,0.9946914856945881,0.994680974439361,7333,7172,"[[7263    7]
 [  70 7165]]"
decision_tree,pearson-lda,0.9847628797219924,0.9848574025888057,0.9847638745260255,0.9847638745260255,0.984746983989072,7371,7134,"[[7210   60]
 [ 161 7074]]"
